id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDMTPO21N000000460,장소,문화시설,7233194,CGV,강남점,,100208,CGV,1168010100108140006,서울특별시,강남구,역삼동,,814-6,1168010100,1168064000,116802102001,강남대로,438,127.026338747582,37.5016617146246,다사581448,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000461,장소,문화시설,7233214,CGV,부평점,,100208,CGV,2823710400103860000,인천광역시,부평구,청천동,,386,2823710400,2823759100,282373154066,마장로,489,126.704105582691,37.5222783707073,다사296472,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000462,장소,문화시설,10253721,창원시네마,,,100202,일반극장/영화관,4812312500100960001,경상남도,창원시 성산구,중앙동,,96-1,4812312500,4812352000,481232327003,중앙대로,95,128.678911395655,35.2236211927949,마라072926,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000463,장소,문화시설,14145974,롯데시네마,진접점,,100209,롯데시네마,4136025328110810002,경기도,남양주시,진접읍,금곡리,1081-2,4136025328,4136025300,413603197065,해밀예당1로,36,127.18667945041,37.7120379130757,다사723680,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000464,장소,문화시설,15948205,디브이디영화관,,,92005,비디오/DVD감상실,4215010800101130010,강원도,강릉시,성남동,,113-10,4215010800,4215052000,421504460228,금성로61번길,9,128.895702576626,37.7513205752758,마사229733,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000465,장소,문화시설,17040861,애기똥풀인형극장,,,100202,일반극장/영화관,4111513000100320001,경기도,수원시 팔달구,신풍동,,32-1,4111513000,4111574000,411153176008,신풍로,47,127.014025050371,37.2854008340864,다사569208,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000466,장소,문화시설,17098039,극장동국,,,100202,일반극장/영화관,1111017100100130000,서울특별시,종로구,명륜2가,,13,1111017100,1111065000,111103005008,창경궁로,259,127.000038186137,37.5845505550924,다사558540,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000467,장소,문화시설,17106330,롯데시네마,수원점,,100209,롯데시네마,4111313100103810000,경기도,수원시 권선구,서둔동,,381,4111313100,4111356000,411133175032,세화로,134,126.997274807287,37.2641248262409,다사554184,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000468,장소,문화시설,17247747,숲DVD,,,92005,비디오/DVD감상실,4115010100101960008,경기도,의정부시,의정부동,,196-8,4115010100,4115051000,411504343459,호국로1298번길,78,127.04827808175,37.7399526853513,다사602712,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000469,장소,문화시설,17252311,롯데시네마,광명점,,100209,롯데시네마,4121010100101500019,경기도,광명시,광명동,,150-19,4121010100,4121054000,412103000022,오리로,970,126.855852161149,37.4793438339154,다사430424,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000470,장소,문화시설,17521531,디지털영화관,,,92005,비디오/DVD감상실,4873038022105520001,경상남도,함안군,산인면,신산리,552-1,4873038022,4873038000,487302330001,함마대로,2297,128.475327285683,35.2674881917046,라라887973,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000471,장소,문화시설,17599399,기벌포영화관,,,100202,일반극장/영화관,4477025024101370001,충청남도,서천군,장항읍,신창리,137-1,4477025024,4477025000,447704580711,장항로145번길,30,126.694117731734,36.0130610080328,다마273798,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000472,장소,문화시설,18322341,메가박스,상암월드컵경기장점,,100212,메가박스,1144012500105150000,서울특별시,마포구,성산동,,515,1144012500,1144073000,114403113018,월드컵로,240,126.898304263704,37.5684745676771,다사468522,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000473,장소,문화시설,18378294,VR플러스,,,92005,비디오/DVD감상실,4413310400109290003,충청남도,천안시 서북구,두정동,,929-3,4413310400,4413359000,441334550549,원두정2길,26,127.1358882715,36.832658564315,다바675705,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000474,장소,문화시설,18503816,CGV,청주율량점,,100208,CGV,4311410300105000003,충청북도,청주시 청원구,율량동,,500-3,4311410300,4311454000,431142014003,충청대로,114,127.494399735658,36.6660762395727,다바995520,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000475,장소,문화시설,19466845,레이저미션,,,92005,비디오/DVD감상실,2818510600100080003,인천광역시,연수구,송도동,,8-3,2818510600,2818582000,281854256351,인천타워대로132번길,30,126.643555175459,37.3859775070853,다사241322,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000476,장소,문화시설,20519921,칠곡군작은영화관,,,100202,일반극장/영화관,4785025624106080000,경상북도,칠곡군,석적읍,포남리,608,4785025624,4785025600,478503322009,석적로,646,128.409358755292,36.0514209379689,라마819842,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000477,장소,문화시설,21154774,팝스DVD영화관,,,92005,비디오/DVD감상실,4127310100105390002,경기도,안산시 단원구,고잔동,,539-2,4127310100,4127353200,412733190009,고잔로,108,126.838037439337,37.3185732368815,다사413246,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000478,장소,문화시설,21632599,무비홀릭비디오물감상실,,,92005,비디오/DVD감상실,2820010100114660000,인천광역시,남동구,구월동,,1466,2820010100,2820052100,282004259648,인하로489번길,22,126.701386155276,37.4445658574123,다사293386,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000479,장소,문화시설,21686648,팝스디브이디,일산백석점,,92005,비디오/DVD감상실,4128510600113080000,경기도,고양시 일산동구,백석동,,1308,4128510600,4128555200,412853193028,일산로,46,126.787893377011,37.6423370386066,다사371605,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000480,장소,문화시설,21686687,DVD맥스,,,92005,비디오/DVD감상실,4711310300105200004,경상북도,포항시 북구,남빈동,,520-4,4711310300,4711352000,471133304039,중앙상가2길,20,129.36416123302,36.0364558996979,마마679837,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000481,장소,문화시설,21688237,아이러브DVD영화관,,,92005,비디오/DVD감상실,1162010100108640001,서울특별시,관악구,봉천동,,864-1,1162010100,1162059500,116203120001,관악로,155,126.952092663022,37.4791598026088,다사515423,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000482,장소,문화시설,21688257,엔피아디브이디영화관,,,92005,비디오/DVD감상실,4115010100101750001,경기도,의정부시,의정부동,,175-1,4115010100,4115051000,411504343196,시민로121번길,9,127.048875820932,37.7388958299608,다사602711,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000483,장소,문화시설,21688280,MJDVD시네마,,,92005,비디오/DVD감상실,2711010500100250001,대구광역시,중구,삼덕동1가,,25-1,2711010500,2711054500,271104223087,동성로5길,62,128.597818050647,35.8672959903782,라마991639,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000484,장소,문화시설,21856362,밀크북바이모노플렉스,,,100202,일반극장/영화관,4148011500105320003,경기도,파주시,문발동,,532-3,4148011500,4148054000,414804418895,회동길,121,126.687581453329,37.7075139446208,다사283678,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000485,장소,문화시설,21865022,시네마비와이,,,100202,일반극장/영화관,4427010600110180000,충청남도,당진시,수청동,,1018,4427010600,4427051000,442703265144,시청2로,20,126.644017927526,36.8891869416252,다바237771,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000486,장소,문화시설,22171970,독립영화전용관(2024년3월예정),,,100202,일반극장/영화관,4128510400118190000,경기도,고양시 일산동구,장항동,,1819,4128510400,4128558000,412854379075,멱절길,227,126.745679671851,37.6576871346071,다사334622,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
